TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,1348561,0,19467,1,X,10,2024
1,AK,03,5,,XO,1220,77875,0,1067,1,X,10,2024
1,AK,03,5,,XY,1220,2040628,0,27963,1,X,10,2024
1,AK,04,5,VE,,2010,2771,0,0,1,0,10,2024
1,AK,15,5,,XC,1220,264545,0,2125,1,X,10,2024
1,AK,15,5,QT,,2010,26098,0,0,1,0,10,2024
1,AK,16,5,,XC,1220,174892,0,724,1,X,10,2024
1,AK,19,5,MX,,2010,30853,0,0,1,0,10,2024
1,AK,22,3,,XC,1220,45247,17248,229,1,X,10,2024
1,AK,23,5,,XC,1220,562522,0,2638,1,X,10,2024
1,AK,25,1,,XC,1220,434300,7400000,3271,1,X,10,2024
1,AK,26,1,,XC,1220,144475922,82074493,218065,1,X,10,2024
1,AK,27,1,XX,,2010,8862575,11376943,0,1,0,10,2024
1,AK,27,5,,XC,1220,4780996,0,54448,1,X,10,2024
1,AK,28,5,,XA,1220,5613,0,274,1,X,10,2024
1,AK,29,5,VE,,2010,22634,0,0,1,0,10,2024
1,AK,39,5,CO,,2010,52839,0,0,2,0,10,2024
1,AK,39,5,MX,,2010,62438,0,0,1,0,10,2024
1,AK,39,5,MX,,2010,110758,0,0,2,0,10,2024
1,AK,39,5,NL,,2010,5176,0,0,1,0,10,2024
1,AK,39,5,TM,,2010,6328,0,0,1,0,10,2024
1,AK,40,5,MX,,2010,15390,0,0,1,0,10,2024
1,AK,44,1,,XC,1220,1260515,6020504,12480,1,X,10,2024
1,AK,48,5,QT,,2010,49964,0,0,1,0,10,2024
1,AK,49,5,TM,,2010,4020,0,0,1,0,10,2024
1,AK,54,5,GT,,2010,5094,0,0,2,0,10,2024
1,AK,63,3,,XO,1220,4193,480,182,1,X,10,2024
1,AK,68,3,,XA,1220,2538,18,36,1,X,10,2024
1,AK,72,1,XX,,2010,9985,7364,0,1,0,10,2024
